,name,symbol,slug,num_market_pairs,is_active,cmc_rank,last_updated,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.last_updated
11,Cardano,ADA,cardano,287,1,3,2021-08-14T21:03:08.000Z,-0.90878515,6.27226908,49.18989684,76.28123492,40.59817331,6.47312693,2021-08-14 21:03:08+00:00
12,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-14T21:08:02.000Z,-0.18551881,-1.95419152,6.03667782,47.15541867,16.79673226,4.86973181,2021-08-14 21:08:02+00:00
13,Litecoin,LTC,litecoin,710,1,14,2021-08-14T21:08:02.000Z,-0.6501479,-1.2802744,15.71436429,42.64702926,3.21335972,-37.16544647,2021-08-14 21:08:02+00:00
14,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-14T21:08:03.000Z,0.08851706,2.03151725,17.89328331,53.12637896,-9.9086612,-41.16142795,2021-08-14 21:08:03+00:00
15,Monero,XMR,monero,161,1,29,2021-08-14T21:08:04.000Z,-0.53736396,-0.02215421,0.15040082,36.78234538,-3.8183152,-28.92241543,2021-08-14 21:08:04+00:00
16,Ethereum,ETH,ethereum,5593,1,2,2021-08-14T21:08:02.000Z,-0.30586931,-1.29887476,4.05985221,68.10970109,27.82006423,-4.17880564,2021-08-14 21:08:02+00:00
17,Cardano,ADA,cardano,287,1,3,2021-08-14T21:07:07.000Z,-0.5914377,6.61092936,49.5758814,76.75721726,40.3809252,5.25992461,2021-08-14 21:07:07+00:00
18,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-14T21:14:02.000Z,0.11880087,-2.08956341,5.83133644,47.20295577,16.91526564,4.54007265,2021-08-14 21:14:02+00:00
19,Litecoin,LTC,litecoin,710,1,14,2021-08-14T21:14:02.000Z,0.00037072,-1.25848041,15.94448458,42.97921897,3.46171764,-37.19768113,2021-08-14 21:14:02+00:00
20,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-14T21:14:03.000Z,0.74479235,1.57248973,17.48731351,53.37266533,-9.77617604,-40.83029718,2021-08-14 21:14:03+00:00
21,Monero,XMR,monero,161,1,29,2021-08-14T21:14:04.000Z,-0.06705964,-0.13538638,-0.25642838,36.73657305,-3.594148,-29.23487989,2021-08-14 21:14:04+00:00
22,Ethereum,ETH,ethereum,5593,1,2,2021-08-14T21:14:02.000Z,0.03404458,-1.41960253,4.02906345,68.36579213,28.22251701,-4.91355734,2021-08-14 21:14:02+00:00
23,Cardano,ADA,cardano,287,1,3,2021-08-14T21:13:08.000Z,0.85624044,6.66758827,49.99164964,77.17477374,40.87895727,5.38626097,2021-08-14 21:13:08+00:00
24,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-14T21:19:02.000Z,0.61697001,-1.95971942,5.63361912,47.23804019,16.70611819,5.51417952,2021-08-14 21:19:02+00:00
25,Litecoin,LTC,litecoin,710,1,14,2021-08-14T21:19:02.000Z,1.01993024,-1.04859131,15.82752968,42.9367729,3.2209397,-36.25544965,2021-08-14 21:19:02+00:00
26,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-14T21:19:03.000Z,1.94585445,2.14351575,17.14708807,54.03195963,-9.6902508,-38.7917631,2021-08-14 21:19:03+00:00
27,Monero,XMR,monero,161,1,29,2021-08-14T21:19:04.000Z,0.61477739,-0.04061823,-0.27673478,36.67085898,-3.76355537,-28.29461706,2021-08-14 21:19:04+00:00
28,Ethereum,ETH,ethereum,5593,1,2,2021-08-14T21:19:02.000Z,0.54446944,-1.2182477,3.86739083,68.25196725,27.86075207,-3.94922287,2021-08-14 21:19:02+00:00
29,Cardano,ADA,cardano,287,1,3,2021-08-14T21:18:08.000Z,1.64450523,6.66943777,49.68212132,76.9629376,40.43305246,6.76590479,2021-08-14 21:18:08+00:00
30,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-14T21:24:02.000Z,0.40210286,-1.85609112,5.88902033,47.32521651,16.99832747,5.61268383,2021-08-14 21:24:02+00:00
31,Litecoin,LTC,litecoin,710,1,14,2021-08-14T21:24:02.000Z,0.92663686,-1.07587599,16.05197977,43.17779502,3.62328181,-36.13470452,2021-08-14 21:24:02+00:00
32,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-14T21:24:03.000Z,0.99042434,2.17357094,16.67529205,54.0672541,-9.88372588,-38.47624215,2021-08-14 21:24:03+00:00
33,Monero,XMR,monero,161,1,29,2021-08-14T21:24:04.000Z,0.46812366,-0.03921925,-0.14355438,36.53368079,-3.76694861,-28.31031347,2021-08-14 21:24:04+00:00
34,Ethereum,ETH,ethereum,5593,1,2,2021-08-14T21:24:02.000Z,0.50101914,-0.98156189,4.52970455,68.43175195,28.31601469,-3.78380237,2021-08-14 21:24:02+00:00
35,Cardano,ADA,cardano,287,1,3,2021-08-14T21:23:08.000Z,1.28994663,7.15378754,50.13770935,77.33445272,41.29700507,7.47928689,2021-08-14 21:23:08+00:00
36,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-14T21:27:02.000Z,0.50949214,-1.85567908,5.87620177,47.54022389,17.05194743,4.96732508,2021-08-14 21:27:02+00:00
37,Litecoin,LTC,litecoin,710,1,14,2021-08-14T21:27:02.000Z,1.13421727,-1.13513906,16.04055212,43.43629399,3.57719846,-36.74440191,2021-08-14 21:27:02+00:00
38,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-14T21:27:03.000Z,1.29475653,2.01420258,16.68987337,54.23208081,-9.91764935,-39.20964443,2021-08-14 21:27:03+00:00
39,Monero,XMR,monero,161,1,29,2021-08-14T21:27:04.000Z,0.71711593,0.07296236,0.11922987,36.65044179,-3.61006067,-28.80644106,2021-08-14 21:27:04+00:00
40,Ethereum,ETH,ethereum,5593,1,2,2021-08-14T21:27:02.000Z,0.56777207,-1.05116114,4.42864922,68.73827128,28.35410188,-4.08180262,2021-08-14 21:27:02+00:00
41,Cardano,ADA,cardano,287,1,3,2021-08-14T21:26:07.000Z,1.22732522,6.91379795,49.83740132,77.19328594,41.02362823,6.2025136,2021-08-14 21:26:07+00:00
42,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-14T21:34:02.000Z,0.89805525,-1.6804469,5.83517156,47.60770248,17.19660219,5.81765118,2021-08-14 21:34:02+00:00
43,Litecoin,LTC,litecoin,710,1,14,2021-08-14T21:34:02.000Z,1.71289737,-0.71145396,16.23330397,43.70678946,3.703504,-36.07906648,2021-08-14 21:34:02+00:00
44,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-14T21:34:03.000Z,1.28519329,2.33527506,17.10813168,54.38700007,-10.08745993,-39.08281278,2021-08-14 21:34:03+00:00
45,Monero,XMR,monero,161,1,29,2021-08-14T21:34:04.000Z,1.06747559,0.23213951,0.24580919,36.8462322,-3.29450435,-28.15663594,2021-08-14 21:34:04+00:00
46,Ethereum,ETH,ethereum,5593,1,2,2021-08-14T21:34:02.000Z,1.08247481,-0.98039106,4.16553618,68.70264634,28.36322779,-3.3497176,2021-08-14 21:34:02+00:00
47,Cardano,ADA,cardano,287,1,3,2021-08-14T21:33:08.000Z,1.69226337,7.01576051,49.96974158,77.4447371,41.25052846,5.52736287,2021-08-14 21:33:08+00:00
48,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-14T21:39:02.000Z,0.82541288,-1.57902318,6.28485191,47.99069251,17.38044162,4.05160492,2021-08-14 21:39:02+00:00
49,Litecoin,LTC,litecoin,710,1,14,2021-08-14T21:39:02.000Z,1.49899732,-0.28850795,16.79081393,44.06130472,3.86008354,-37.24498297,2021-08-14 21:39:02+00:00
50,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-14T21:39:03.000Z,1.11579899,2.14928819,17.64076662,55.48165944,-9.83474556,-40.82328649,2021-08-14 21:39:03+00:00
51,Monero,XMR,monero,161,1,29,2021-08-14T21:39:04.000Z,1.1257133,0.38693243,0.54875958,37.18895546,-3.07140204,-29.33395917,2021-08-14 21:39:04+00:00
52,Ethereum,ETH,ethereum,5593,1,2,2021-08-14T21:39:02.000Z,1.0911015,-0.7936259,4.59746795,69.32875634,28.44825225,-4.97938052,2021-08-14 21:39:02+00:00
53,Cardano,ADA,cardano,287,1,3,2021-08-14T21:39:07.000Z,1.78923525,7.95007534,51.35824272,78.91369303,41.89939523,3.72967336,2021-08-14 21:39:07+00:00
54,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-14T21:43:02.000Z,0.73168194,-1.50355797,6.3374948,47.93718035,17.38462653,3.54591696,2021-08-14 21:43:02+00:00
55,Litecoin,LTC,litecoin,710,1,14,2021-08-14T21:43:02.000Z,1.23840952,-0.38269888,16.61742089,43.78021914,3.72468651,-37.56509338,2021-08-14 21:43:02+00:00
56,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-14T21:43:03.000Z,0.96874619,2.486917,17.34585256,55.75496284,-9.74437475,-41.28950237,2021-08-14 21:43:03+00:00
57,Monero,XMR,monero,161,1,29,2021-08-14T21:43:04.000Z,0.78123091,0.3982081,-0.03779246,37.00178946,-3.13037857,-29.72963089,2021-08-14 21:43:04+00:00
58,Ethereum,ETH,ethereum,5593,1,2,2021-08-14T21:43:02.000Z,0.99104072,-0.67728125,4.51156977,69.36431209,28.55531897,-5.6615925,2021-08-14 21:43:02+00:00
59,Cardano,ADA,cardano,287,1,3,2021-08-14T21:42:10.000Z,2.06139329,8.33871143,50.93567538,79.37782359,42.4842983,2.89028306,2021-08-14 21:42:10+00:00
60,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-14T21:44:02.000Z,0.76252866,-1.48099958,6.39013185,47.93599722,17.3903122,3.48800704,2021-08-14 21:44:02+00:00
61,Litecoin,LTC,litecoin,710,1,14,2021-08-14T21:44:02.000Z,1.30991572,-0.35979615,16.73900442,43.95956538,3.77172359,-37.77195138,2021-08-14 21:44:02+00:00
62,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-14T21:44:03.000Z,1.15914321,2.54155966,17.47723709,55.85801235,-9.65885271,-41.33111901,2021-08-14 21:44:03+00:00
63,Monero,XMR,monero,161,1,29,2021-08-14T21:44:04.000Z,0.80376363,0.41945753,0.1961269,37.08623029,-3.04043242,-29.845476,2021-08-14 21:44:04+00:00
64,Ethereum,ETH,ethereum,5593,1,2,2021-08-14T21:44:02.000Z,1.07040556,-0.63979804,4.57806893,69.42194565,28.67237729,-6.07408951,2021-08-14 21:44:02+00:00
65,Cardano,ADA,cardano,287,1,3,2021-08-14T21:43:07.000Z,1.61799851,7.95477221,50.40261013,78.74430813,41.98108111,2.52690155,2021-08-14 21:43:07+00:00
66,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-14T21:50:02.000Z,0.71892527,-1.5643456,6.46916105,47.87110873,17.33336241,3.40807043,2021-08-14 21:50:02+00:00
67,Litecoin,LTC,litecoin,710,1,14,2021-08-14T21:50:02.000Z,1.30371705,-0.35353716,16.34292258,44.02297548,4.02878153,-37.48862804,2021-08-14 21:50:02+00:00
68,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-14T21:50:03.000Z,1.33923088,2.30611076,17.40078069,55.93321161,-9.5040841,-40.84299422,2021-08-14 21:50:03+00:00
69,Monero,XMR,monero,161,1,29,2021-08-14T21:50:04.000Z,0.63824596,0.30718956,0.12370578,36.97994367,-2.92885608,-29.83579058,2021-08-14 21:50:04+00:00
70,Ethereum,ETH,ethereum,5593,1,2,2021-08-14T21:50:02.000Z,0.87308688,-0.85560436,4.58071187,69.40032476,28.61711588,-6.46386696,2021-08-14 21:50:02+00:00
71,Cardano,ADA,cardano,287,1,3,2021-08-14T21:49:07.000Z,1.3279132,7.71451327,50.37954834,78.4333036,41.64223951,0.57617143,2021-08-14 21:49:07+00:00
72,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-14T21:55:02.000Z,0.91786071,-1.24705739,6.72022052,48.08581793,17.6846126,3.79074742,2021-08-14 21:55:02+00:00
73,Litecoin,LTC,litecoin,710,1,13,2021-08-14T21:55:02.000Z,1.70417434,0.14720519,17.16822905,44.57058019,4.26200565,-37.10439251,2021-08-14 21:55:02+00:00
74,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-14T21:55:03.000Z,1.84519609,3.10855267,18.95210648,56.95156801,-9.07683107,-40.73706541,2021-08-14 21:55:03+00:00
75,Monero,XMR,monero,161,1,29,2021-08-14T21:55:04.000Z,0.79435078,0.40653696,0.43689411,37.23624535,-2.63484145,-29.69987647,2021-08-14 21:55:04+00:00
76,Ethereum,ETH,ethereum,5593,1,2,2021-08-14T21:55:03.000Z,1.02643177,-0.63807842,4.8862769,69.4406766,28.81594096,-6.55890755,2021-08-14 21:55:03+00:00
77,Cardano,ADA,cardano,287,1,3,2021-08-14T21:54:07.000Z,1.91873828,7.86561118,51.02524426,78.69111899,41.98665268,1.75087429,2021-08-14 21:54:07+00:00
78,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-14T22:02:02.000Z,0.74800172,-1.17041842,7.64939537,48.31610216,17.54891705,3.62807548,2021-08-14 22:02:02+00:00
79,Litecoin,LTC,litecoin,710,1,13,2021-08-14T22:02:02.000Z,1.30674346,0.02663077,18.25680652,44.37002201,3.87283207,-37.53810778,2021-08-14 22:02:02+00:00
80,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-14T22:02:03.000Z,1.16571484,3.19728114,20.8960078,56.80054141,-9.57613394,-41.29504335,2021-08-14 22:02:03+00:00
81,Monero,XMR,monero,161,1,29,2021-08-14T22:02:04.000Z,0.71328979,0.61091017,1.53620242,37.35506476,-2.90983268,-30.08178115,2021-08-14 22:02:04+00:00
82,Ethereum,ETH,ethereum,5593,1,2,2021-08-14T22:02:02.000Z,0.89641411,-0.61770251,6.01935566,69.82558126,28.7117879,-6.32455886,2021-08-14 22:02:02+00:00
83,Cardano,ADA,cardano,287,1,3,2021-08-14T22:01:07.000Z,1.35283821,8.72577642,52.34282757,78.46074307,41.87711129,1.91875919,2021-08-14 22:01:07+00:00
84,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-14T22:09:02.000Z,0.57274782,-1.28373664,7.15230695,48.05945191,17.26092235,2.91612973,2021-08-14 22:09:02+00:00
85,Litecoin,LTC,litecoin,710,1,13,2021-08-14T22:09:02.000Z,1.02808995,-0.25355912,17.83960824,43.6275682,3.62967476,-37.64079486,2021-08-14 22:09:02+00:00
86,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-14T22:09:03.000Z,0.66596097,3.06354157,20.1174324,55.31499885,-9.79300941,-42.54986939,2021-08-14 22:09:03+00:00
87,Monero,XMR,monero,161,1,29,2021-08-14T22:09:04.000Z,0.57265825,0.39723686,1.15551239,36.26918226,-3.11454185,-30.32901593,2021-08-14 22:09:04+00:00
88,Ethereum,ETH,ethereum,5593,1,2,2021-08-14T22:09:02.000Z,0.61601507,-0.90033957,5.43094447,69.52375894,28.29316112,-7.32105775,2021-08-14 22:09:02+00:00
89,Cardano,ADA,cardano,287,1,3,2021-08-14T22:08:07.000Z,0.9912137,8.73621853,51.78620957,78.22005682,41.7379433,-0.61961329,2021-08-14 22:08:07+00:00
90,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-14T22:12:02.000Z,0.40171941,-1.31002912,7.21281919,47.64919214,17.11293662,2.34354814,2021-08-14 22:12:02+00:00
91,Litecoin,LTC,litecoin,710,1,13,2021-08-14T22:12:02.000Z,0.7808166,-0.21558075,17.92400581,43.22063192,3.53922169,-38.009929,2021-08-14 22:12:02+00:00
92,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-14T22:12:03.000Z,0.63911155,3.52438985,20.13627619,55.39284816,-9.64617249,-42.40240263,2021-08-14 22:12:03+00:00
93,Monero,XMR,monero,161,1,29,2021-08-14T22:12:04.000Z,0.45129828,0.29644879,1.33742288,36.14904387,-3.23944986,-30.59496961,2021-08-14 22:12:04+00:00
94,Ethereum,ETH,ethereum,5593,1,2,2021-08-14T22:12:02.000Z,0.45962349,-0.75373805,5.62486514,69.0522517,28.20237973,-7.74561868,2021-08-14 22:12:02+00:00
95,Cardano,ADA,cardano,287,1,3,2021-08-14T22:11:07.000Z,0.68966539,8.76885096,51.57043124,77.84965631,41.24590664,-1.05199922,2021-08-14 22:11:07+00:00
96,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-14T22:19:02.000Z,0.81322463,-0.95306267,7.34172393,47.97469844,17.23538501,1.92578364,2021-08-14 22:19:02+00:00
97,Litecoin,LTC,litecoin,710,1,13,2021-08-14T22:19:02.000Z,1.16669655,0.41469223,18.29087351,43.98004272,3.87671287,-38.03007384,2021-08-14 22:19:02+00:00
98,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-14T22:19:03.000Z,0.66078786,3.56482068,19.69386375,55.13863494,-9.62196281,-42.49726862,2021-08-14 22:19:03+00:00
99,Monero,XMR,monero,161,1,29,2021-08-14T22:19:04.000Z,0.7452045,0.6932798,1.57458502,36.60937134,-3.11181256,-30.39474851,2021-08-14 22:19:04+00:00
100,Ethereum,ETH,ethereum,5593,1,2,2021-08-14T22:19:02.000Z,0.79230728,-0.51645067,5.74972137,69.73538561,28.35687762,-8.54456721,2021-08-14 22:19:02+00:00
101,Cardano,ADA,cardano,287,1,3,2021-08-14T22:18:07.000Z,0.78069422,9.14729351,52.10878191,78.05816468,41.44072904,-2.41993748,2021-08-14 22:18:07+00:00
102,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-14T22:24:02.000Z,0.61661782,-0.94655509,7.04962677,47.96603598,17.3043277,2.10956984,2021-08-14 22:24:02+00:00
103,Litecoin,LTC,litecoin,710,1,13,2021-08-14T22:24:02.000Z,0.69552565,0.31476124,17.81507572,43.83140979,3.18890964,-38.19135491,2021-08-14 22:24:02+00:00
104,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-14T22:24:03.000Z,0.74944122,3.62508513,19.00104273,55.26135389,-9.59441611,-42.15557871,2021-08-14 22:24:03+00:00
105,Monero,XMR,monero,161,1,29,2021-08-14T22:24:04.000Z,0.56839486,0.61792221,1.10322178,36.57164061,-3.16762009,-30.43209976,2021-08-14 22:24:04+00:00
106,Ethereum,ETH,ethereum,5593,1,2,2021-08-14T22:24:02.000Z,0.27174271,-0.59088833,5.24298119,69.56588679,28.02009691,-8.18890606,2021-08-14 22:24:02+00:00
107,Cardano,ADA,cardano,287,1,3,2021-08-14T22:23:07.000Z,0.09247071,8.811761,51.37591715,77.60165651,40.809752,-1.65197342,2021-08-14 22:23:07+00:00
108,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-14T22:29:02.000Z,0.58107543,-0.93918068,7.0152377,47.77750327,17.23878894,2.47289126,2021-08-14 22:29:02+00:00
109,Litecoin,LTC,litecoin,710,1,13,2021-08-14T22:29:02.000Z,0.55915308,0.22851365,17.33136377,43.52813543,3.39208751,-38.07079233,2021-08-14 22:29:02+00:00
110,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-14T22:29:03.000Z,0.69276821,3.7558661,18.6332135,55.42453213,-9.55610636,-41.85514766,2021-08-14 22:29:03+00:00
111,Monero,XMR,monero,161,1,29,2021-08-14T22:29:04.000Z,0.46408426,0.62248589,0.96343116,36.66579908,-3.30955858,-30.32788492,2021-08-14 22:29:04+00:00
112,Ethereum,ETH,ethereum,5593,1,2,2021-08-14T22:29:02.000Z,0.30886165,-0.54101496,5.28985762,69.09946219,28.0137354,-8.06046014,2021-08-14 22:29:02+00:00
113,Cardano,ADA,cardano,287,1,3,2021-08-14T22:28:08.000Z,0.07660422,8.77724507,51.13628557,77.46394984,40.66997862,-0.95980951,2021-08-14 22:28:08+00:00
114,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-14T22:34:02.000Z,0.39895472,-0.98822217,6.95445842,48.04354935,17.27373891,3.08797132,2021-08-14 22:34:02+00:00
115,Litecoin,LTC,litecoin,710,1,13,2021-08-14T22:34:02.000Z,0.33931474,0.11103504,17.22869468,43.82076598,3.39490712,-37.97015471,2021-08-14 22:34:02+00:00
116,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-14T22:34:03.000Z,0.48132669,3.31054927,18.30767076,55.43925002,-9.66715607,-41.01628442,2021-08-14 22:34:03+00:00
117,Monero,XMR,monero,161,1,29,2021-08-14T22:34:04.000Z,0.29855929,0.4164929,0.89624847,36.72214286,-3.21705326,-30.22453406,2021-08-14 22:34:04+00:00
118,Ethereum,ETH,ethereum,5593,1,2,2021-08-14T22:34:02.000Z,0.24133509,-0.6442941,5.23658299,69.22245805,27.89952125,-7.55112871,2021-08-14 22:34:02+00:00
119,Cardano,ADA,cardano,287,1,3,2021-08-14T22:33:08.000Z,0.23132836,8.74978402,51.19825911,77.84880022,40.79167973,-0.56012024,2021-08-14 22:33:08+00:00
120,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-14T22:39:02.000Z,0.22853195,-1.10760442,6.66457801,48.04202503,17.39342953,3.1706263,2021-08-14 22:39:02+00:00
121,Litecoin,LTC,litecoin,710,1,13,2021-08-14T22:39:02.000Z,0.13847531,-0.10947941,16.82696066,43.96391452,3.19968281,-37.77894078,2021-08-14 22:39:02+00:00
122,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-14T22:39:03.000Z,0.15474903,2.93252731,17.3508723,55.36431334,-9.59229062,-40.98632824,2021-08-14 22:39:03+00:00
123,Monero,XMR,monero,161,1,29,2021-08-14T22:39:04.000Z,0.06926158,0.2265299,0.32771349,36.91298827,-3.17036031,-30.57113233,2021-08-14 22:39:04+00:00
124,Ethereum,ETH,ethereum,5593,1,2,2021-08-14T22:39:02.000Z,0.02052395,-0.79015723,4.86462003,69.11005638,27.98314167,-7.41271824,2021-08-14 22:39:02+00:00
125,Cardano,ADA,cardano,287,1,3,2021-08-14T22:38:07.000Z,-0.48173768,8.00727315,50.82106644,78.0250131,40.87784706,-0.31597928,2021-08-14 22:38:07+00:00
126,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-14T22:44:02.000Z,0.04601484,-1.39778835,6.53755377,47.86216615,16.98551068,3.08407043,2021-08-14 22:44:02+00:00
127,Litecoin,LTC,litecoin,710,1,13,2021-08-14T22:44:02.000Z,0.1520504,-0.39300289,16.85797196,43.96629835,3.01427719,-37.79940914,2021-08-14 22:44:02+00:00
128,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-14T22:44:03.000Z,-0.04265605,2.70078926,16.15200111,55.46124788,-9.91136779,-41.01952349,2021-08-14 22:44:03+00:00
129,Monero,XMR,monero,161,1,29,2021-08-14T22:44:04.000Z,-0.07547746,-0.15173975,0.29128371,36.94099253,-3.36432395,-30.42978139,2021-08-14 22:44:04+00:00
130,Ethereum,ETH,ethereum,5593,1,2,2021-08-14T22:44:02.000Z,-0.19428156,-1.15467414,4.8774708,69.1107922,27.26428269,-7.39571658,2021-08-14 22:44:02+00:00
131,Cardano,ADA,cardano,287,1,3,2021-08-14T22:43:08.000Z,-0.7237489,7.43047806,50.07853703,77.70181702,39.97147346,-0.99710647,2021-08-14 22:43:08+00:00
132,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-14T22:49:02.000Z,-0.0194206,-1.38094488,6.63678859,47.88794604,16.88255555,2.77284661,2021-08-14 22:49:02+00:00
133,Litecoin,LTC,litecoin,710,1,13,2021-08-14T22:49:02.000Z,-0.18390185,-0.22689652,16.73355731,44.01706342,2.83460371,-37.97561066,2021-08-14 22:49:02+00:00
134,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-14T22:49:03.000Z,-0.41147809,2.59814593,16.0419637,55.69679407,-10.03417035,-41.03650313,2021-08-14 22:49:03+00:00
135,Monero,XMR,monero,161,1,29,2021-08-14T22:49:04.000Z,-0.38181112,-0.20959055,0.08762478,37.04319315,-3.56030445,-30.67692402,2021-08-14 22:49:04+00:00
136,Ethereum,ETH,ethereum,5593,1,2,2021-08-14T22:49:02.000Z,-0.37600162,-1.19473754,4.78085887,69.13926649,26.86191982,-8.06503681,2021-08-14 22:49:02+00:00
137,Cardano,ADA,cardano,287,1,3,2021-08-14T22:48:08.000Z,-0.69937776,7.33885095,50.26614001,77.74436975,39.61726798,-0.91292917,2021-08-14 22:48:08+00:00
138,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-14T22:54:02.000Z,-0.21381855,-1.43254886,6.70892786,47.85111353,17.02242222,2.53748126,2021-08-14 22:54:02+00:00
139,Litecoin,LTC,litecoin,710,1,13,2021-08-14T22:54:02.000Z,-0.43198298,-0.16993651,17.26813932,43.97679325,3.0925057,-38.00003663,2021-08-14 22:54:02+00:00
140,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-14T22:54:03.000Z,-0.75968318,2.638706,16.11733681,55.56464841,-9.93687,-41.5161772,2021-08-14 22:54:03+00:00
141,Monero,XMR,monero,161,1,29,2021-08-14T22:54:04.000Z,-0.34826272,0.00796657,0.27494395,36.94579245,-3.42107699,-30.81900696,2021-08-14 22:54:04+00:00
142,Ethereum,ETH,ethereum,5593,1,2,2021-08-14T22:54:02.000Z,-0.45020001,-1.14381952,5.11267203,69.002168,26.98982244,-8.59368421,2021-08-14 22:54:02+00:00
143,Cardano,ADA,cardano,287,1,3,2021-08-14T22:53:07.000Z,-0.4390391,7.97931191,50.94416504,78.24628901,40.23411392,-2.05883142,2021-08-14 22:53:07+00:00
